"Name","Label","Level"
"C24010_001E","Total",2
"C24010_002E","Male",3
"C24010_003E","Management, business, science, and arts occupations",4
"C24010_004E","Management, business, and financial occupations",5
"C24010_005E","Management occupations",6
"C24010_006E","Business and financial operations occupations",6
"C24010_007E","Computer, engineering, and science occupations",5
"C24010_008E","Computer and mathematical occupations",6
"C24010_009E","Architecture and engineering occupations",6
"C24010_010E","Life, physical, and social science occupations",6
"C24010_011E","Education, legal, community service, arts, and media occupations",5
"C24010_012E","Community and social service occupations",6
"C24010_013E","Legal occupations",6
"C24010_014E","Educational instruction, and library occupations",6
"C24010_015E","Arts, design, entertainment, sports, and media occupations",6
"C24010_016E","Healthcare practitioners and technical occupations",5
"C24010_017E","Health diagnosing and treating practitioners and other technical occupations",6
"C24010_018E","Health technologists and technicians",6
"C24010_019E","Service occupations",4
"C24010_020E","Healthcare support occupations",5
"C24010_021E","Protective service occupations",5
"C24010_022E","Firefighting and prevention, and other protective service workers including supervisors",6
"C24010_023E","Law enforcement workers including supervisors",6
"C24010_024E","Food preparation and serving related occupations",5
"C24010_025E","Building and grounds cleaning and maintenance occupations",5
"C24010_026E","Personal care and service occupations",5
"C24010_027E","Sales and office occupations",4
"C24010_028E","Sales and related occupations",5
"C24010_029E","Office and administrative support occupations",5
"C24010_030E","Natural resources, construction, and maintenance occupations",4
"C24010_031E","Farming, fishing, and forestry occupations",5
"C24010_032E","Construction and extraction occupations",5
"C24010_033E","Installation, maintenance, and repair occupations",5
"C24010_034E","Production, transportation, and material moving occupations",4
"C24010_035E","Production occupations",5
"C24010_036E","Transportation occupations",5
"C24010_037E","Material moving occupations",5
"C24010_038E","Female",3
"C24010_039E","Management, business, science, and arts occupations",4
"C24010_040E","Management, business, and financial occupations",5
"C24010_041E","Management occupations",6
"C24010_042E","Business and financial operations occupations",6
"C24010_043E","Computer, engineering, and science occupations",5
"C24010_044E","Computer and mathematical occupations",6
"C24010_045E","Architecture and engineering occupations",6
"C24010_046E","Life, physical, and social science occupations",6
"C24010_047E","Education, legal, community service, arts, and media occupations",5
"C24010_048E","Community and social service occupations",6
"C24010_049E","Legal occupations",6
"C24010_050E","Educational instruction, and library occupations",6
"C24010_051E","Arts, design, entertainment, sports, and media occupations",6
"C24010_052E","Healthcare practitioners and technical occupations",5
"C24010_053E","Health diagnosing and treating practitioners and other technical occupations",6
"C24010_054E","Health technologists and technicians",6
"C24010_055E","Service occupations",4
"C24010_056E","Healthcare support occupations",5
"C24010_057E","Protective service occupations",5
"C24010_058E","Firefighting and prevention, and other protective service workers including supervisors",6
"C24010_059E","Law enforcement workers including supervisors",6
"C24010_060E","Food preparation and serving related occupations",5
"C24010_061E","Building and grounds cleaning and maintenance occupations",5
"C24010_062E","Personal care and service occupations",5
"C24010_063E","Sales and office occupations",4
"C24010_064E","Sales and related occupations",5
"C24010_065E","Office and administrative support occupations",5
"C24010_066E","Natural resources, construction, and maintenance occupations",4
"C24010_067E","Farming, fishing, and forestry occupations",5
"C24010_068E","Construction and extraction occupations",5
"C24010_069E","Installation, maintenance, and repair occupations",5
"C24010_070E","Production, transportation, and material moving occupations",4
"C24010_071E","Production occupations",5
"C24010_072E","Transportation occupations",5
"C24010_073E","Material moving occupations",5
